Data Broker Name,Email Address (Accessible to the public),Website URL,Privacy policy URL,Opt out URL,Physical Address,How a consumer may opt out of sale or submit requests under the CCPA,How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1),Additional information about data collecting practices,Date Added to California AG list ( https://oag.ca.gov/data-brokers ),Kanary,Vermont ID,stopdatamining.me,Criteo data partner,Excessive opt-out,Notes
"HireTeamMate, Inc. dba Hiretual",legal [at] hiretual.com,http://www.hiretual.com,,,"2513 E. Charleston Rd., Suite 200Mountain View, CA 94043United States","Consumer can request opt out through the following methods:

1. Use Hiretual opt-out tool: https://app.hiretual.com/optout
2. Contact Hiretual to request opt out through the following ways: 

Consumer Support Hotline: +1 408-831-1223 ext. 2
Consumer Support Email: support@hiretual.com
Security Report/Complaint: security@hiretual.com
Mailing Address:
Attn: Legal Department
HireTeamMate, Inc. dba Hiretual
2513 E. Charleston Rd., Suite 200
Mountain View, CA 94043","Consumer can request deletion of information through the following methods:

1. Use Hiretual opt-out tool: https://app.hiretual.com/optout
2. Contact Hiretual to request deletion through the following ways: 

Consumer Support Hotline: +1 408-831-1223 ext. 2
Consumer Support Email: support@hiretual.com
Security Report/Complaint: security@hiretual.com
Mailing Address:
Attn: Legal Department
HireTeamMate, Inc. dba Hiretual
2513 E. Charleston Rd., Suite 200
Mountain View, CA 94043","HireTeamMate, Inc. dba Hiretual is an artificial intelligence (AI) recruiting software company. We provide services to customers through our software solution which collects Personal Information and shares with our customers for their internal operational purposes - specifically to engage with a passive job candidate with regard to career opportunities that fit that candidate’s skill sets and professional background. We aspire to help a passive job candidate get to where he or she wants to be professionally and personally, and hope that through our services a passive job candidate will get better career development from companies that he or she wants to work with and that need his or her profession.",01/31/2020,,365295,,,,"HireTeamMate, Inc. dba Hiretual"
Homeowners Marketing Services Inc,dnm [at] homeownersmarketingservices.com,https://homeownersmarketingservices.com/,,,"12444 Victory Blvd2nd FloorNorth Hollywood, CA 91606United States",https://homeownersmarketingservices.com/list-removal-request/,An individual can either use the link shown in the previous question to complete the form or can call us at 1-888-888-5557,"We obtain information from County Recorder’s offices, which is excluded from the definition of “Personal Information” as set forth in the amendment of the California Consumer Privacy Act (“CCPA”), AB 874.",02/27/2020,,,,,,
Hunter Web Services Inc,privacy [at] hunter.io,https://hunter.io/,,,"2810 N Church St #50754Wilmington, DE 19802-4447United States","Consumers can opt-out of the sale of their personal information at https://hunter.io/claim?ref=donotsell, or they may contact us at our toll-free telephone number +1 844 940 0955, or by email at privacy@hunter.io.","These code sections relate to legal protections for government officials and victims of domestic violence, sexual assault, and stalking who would like their personal contact information removed from being posted publicly on the internet. These codes do not apply to Hunter’s website. However, if a consumer believes that they require special protection, please go to https://oag.ca.gov/privacy/special-protection.","Hunter collects business-related data such as names, professional email addresses, social network URLs and job titles exclusively on public web pages thanks to web crawlers. Hunter follows the robots.txt standard used by popular search engines to let webmasters give specific instructions on how they want crawlers to operate on their website. The data collected on public web pages is used by our customers to discover relevant contacts within companies. For more information, please read our Privacy Policy: https://hunter.io/privacy-policy.",03/05/2020,,,,,,
"i360, LLC",privacy [at] i-360.com,http://www.i-360.com,,,"PO Box 663Arlington, VA 22216United States","A California consumer may opt out of sale or submit requests under the CCPA by visiting www.i-360.com/ccpa to access the link to i360's online CCPA request portal or to obtain i360's CCPA Information toll-free phone number, or by clicking on the ""Do Not Sell My Information"" button on i360's website footer to access i360's online CCPA request portal.","i360 does not post information online under Gov. Code sections 6208.1(b) or 6254.21(c)(1). If a protected individual believes such information has been posted by i360, email privacy@i-360.com.",Additional information about data collecting practices can be found at www.i-360.com/ccpa and www.i-360.com/privacy-policy.,02/07/2020,,353282,,,,"I360, LLC"
"ICX Media, Inc",privacy [at] icxmedia.com,https://www.icxmedia.com/,,,"1341 G Street, NWWashington, DC 20005United States",California residents may opt out of the sale of their personal information or exercise other rights under the CCPA by following the instructions available on the ICX Media website at https://www.icxmedia.com/privacy. California residents may also contact us at privacy@icxmedia.com or 888-403-0653.,California residents may request deletion of their personal information by following the instructions available on the ICX Media website at https://www.icxmedia.com/privacy. California residents may also contact us at privacy@icxmedia.com or 888-403-0653.,"For more information on ICX Media’s data-collection practices, please refer to ICX Media’s privacy policy at https://www.icxmedia.com/privacy.",03/03/2020,,,,,,
ID Analytics LLC,jeff.wydra [at] symantec.com,http://www.idanalytics.com,,,"15253 Avenue of ScienceSAN DIEGO, CA 92128United States","ID Analytics, LLC (“IDA”) receives, processes, and/or discloses consumers’ personal information pursuant to the federal Gramm-Leach-Bliley Act, 15 U.S.C. § 6801 et seq., and its implementing regulation, Regulation P, 12 C.F.R. Part 1016, activities for which the CCPA provides an exemption under Section 1798.145.

For this reason, IDA does not complete consumers’ requests to know, requests to delete, or requests to opt-out under the CCPA.","ID Analytics, LLC (“IDA”) receives, processes, and/or discloses consumers’ personal information pursuant to the federal Gramm-Leach-Bliley Act, 15 U.S.C. § 6801 et seq., and its implementing regulation, Regulation P, 12 C.F.R. Part 1016, activities for which the CCPA provides an exemption under Section 1798.145.

For this reason, IDA does not complete consumers’ requests to know, requests to delete, or requests to opt-out under the CCPA.","ID Analytics operates a risk exchange governed by the GLBA (as described above). Outputs produced include Risk Scores, attributes and verification flags. Access to these services is restricted to enterprise customer who certify their use is consistent with the Gramm-Leach-Bliley Act, 15 U.S.C. § 6801 et seq., and its implementing regulation and who have met strict credentialing requirements. 

Creation and distribution of list data, leads or marketing attributes is specifically forbidden under our contracts..",02/27/2020,,351838,,,,"ID Analytics, LLC"
InCheck Inc,,https://incheck.net/,,,"7500 W. State St. Ste. 200, Wauwatosa, WI, 53213, USA",,,,,,351573,,,,
Infinite Media Concepts Inc,sheck [at] mlxp.com,http://www.mlxp.com,,,"190 East Post RoadWhite Plains, NY 10601United States","A consumer can be deleted by sending and email to: opt-out@mailinglists.com

or contact us at:

Infinite Media Concept Inc
190 East Post Road
White Plains, NY 10601
914-948-8300
mail@mlxp.com","A consumer can be deleted by sending and email to: opt-out@mailinglists.com

or contact us at:

Infinite Media Concept Inc
190 East Post Road
White Plains, NY 10601
914-948-8300
mail@mlxp.com","we are a re-seller of data, not a manufacturer of data",03/03/2020,,,,,,
"Inflection Risk Solutions, LLC",,http://www.inflection.com,,,"555 Twin Dolphin Dr., Ste 630, REDWOOD CITY, CA, 94065, USA",,,,,,351595,,,,
"Infocore, Inc.",info [at] infocore.com,http://www.infocore.com,,,"2766 Gateway RoadCarlsbad, CA 92009United States",contact the company,contact the company,,01/16/2020,,,,,,
Infofree.com,bob [at] infofree.com,https://www.infofree.com,,,"11211 John Galt BlvdOmaha, NE 68137United States",Please go to https://ccpa-optout.com/infofree/ to begin the process or contact us via phone and/or email,"Outlined at https://www.infofree.com/privacy - Users can submit a request via online, email, phone, etc.","Our Consumer Database is compiled from public and self-reported data sources to be used for Business to Consumer marketing purposes. Infofree.com does NOT compile any of the following sensitive personal information: Driver’s License Information, Passport/Visa Numbers, State ID Information, Student Information, Social Security Numbers, Sexual Orientation Preferences, Credit/Debit Card Numbers, Private Medical/Health Records, Bank Account Numbers, Salary/Payroll/Benefit Data, PIN Numbers, Frequent Flyer Numbers, Exact FICO Scores/Credit Rating, Medical Insurance Information, Personal Account Numbers, Logon ID’s and Passwords, Biometric Data (Fingerprints, Facial Recognition, DNA, Retina Patterns, Blood Types or Signatures).",02/07/2020,,357401,,,,Infofree.com
Infogroup Inc.,,,,http://www.infousa.com/StaticPage/PrivacyPolicyInfo.htm,,Email or mail information requested.,,,,,,14 Apr 2020,,,
Infogroup Inc.,contentfeedback@infogroup.com,,,https://www.infousa.com/infogroup-consumer-choice-and-resource-center/,,,,,,,,,,,
InfoPay EmailTracer,,,,http://www.emailtracer.com/tos.php,,Look up your information. Opt-out only in certain conditions.,,,,,,14 Apr 2020,,,
